Tarifabschluss 2023: TVöD Sozial- und Erziehungsdienst ab 1. März 2024 (Erhöhungsbeträge in Euro);;;;;;
;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6
 S 18 ;4458,2;4571,79;5134,51;5556,51;6189,53;6576,36
 S 17 ;4110,52;4395,96;4853,14;5134,51;5697,17;6027,75
 S 16 ;4026,38;4304,54;4614;4993,81;5415,82;5669,04
 S 15 ;3884,14;4149,76;4431,15;4754,68;5275,17;5500,22
 S 14 ;3847,03;4109,38;4422,05;4740,1;5091,81;5337,97
 S 13 ;3756,97;4012,6;4360,8;4642,12;4993,81;5169,65
 S 12 ;3747,09;4002,01;4335,64;4631,04;4996,8;5151,53
 S 11b ;3697,55;3948,84;4125,39;4575,55;4927,22;5138,23
 S 11a ;3631,49;3877,94;4053;4501,47;4853,14;5064,15
 S 10 ;3394,81;3718,24;3879,97;4363,14;4757,25;5080,96
 S 9 ;3371,39;3598,79;3864,55;4253,22;4620,71;4902,44
 S 8b ;3371,39;3598,79;3864,55;4253,22;4620,71;4902,44
 S 8a ;3303,85;3526,31;3755,83;3973,29;4185,86;4409,39
 S 7 ;3223,59;3440,19;3655,7;3871,17;4032,82;4276,4
 S 4 ;3091,81;3298,76;3487,33;3615,3;3736,51;3925,36
 S 3 ;2924,89;3119,62;3300,78;3467,12;3543,23;3634,14
 S 2 ;2719,14;2838,41;2926,64;3022,45;3130,19;3237,95
 